,artists,disc_number,explicit,is_local,name,popularity,track_number,type,genre,album_type,year,album_name,danceability,duration_ms,energy,instrumentalness,liveness,tempo,valence,pitch_0_mean,pitch_1_mean,pitch_2_mean,pitch_3_mean,pitch_4_mean,pitch_5_mean,pitch_6_mean,pitch_7_mean,pitch_8_mean,pitch_9_mean,pitch_10_mean,pitch_11_mean,pitch_0_sd,pitch_1_sd,pitch_2_sd,pitch_3_sd,pitch_4_sd,pitch_5_sd,pitch_6_sd,pitch_7_sd,pitch_8_sd,pitch_9_sd,pitch_10_sd,pitch_11_sd,timbre_0_mean,timbre_1_mean,timbre_2_mean,timbre_3_mean,timbre_4_mean,timbre_5_mean,timbre_6_mean,timbre_7_mean,timbre_8_mean,timbre_9_mean,timbre_10_mean,timbre_11_mean,timbre_0_sd,timbre_1_sd,timbre_2_sd,timbre_3_sd,timbre_4_sd,timbre_5_sd,timbre_6_sd,timbre_7_sd,timbre_8_sd,timbre_9_sd,timbre_10_sd,timbre_11_sd
5i2sgqnzaxYpvXmGAB592h,Stan Getz,1,False,False,Corcovado - Quiet Nights Of Quiet Stars,12,5,track,jazz,album,1964,Getz/Gilberto (Classics International Version),0.524,253933,0.10800000000000001,0.00123,0.139,127.98200000000001,0.322,35.20189034564964,-69.55504171632904,-23.730740166865328,-21.09184028605482,45.66290822407632,-15.556282479141837,-8.880089392133495,-7.117029797377833,-5.495113230035754,0.9260977353992852,-13.46162574493444,3.098390941597144,5.4124702872970385,56.16108971692739,57.038130967402914,48.65599648526848,29.73449871456726,31.789940552805334,27.33034136350474,28.969503119171108,20.829215685586014,20.25886986972746,17.265526961086778,14.173324605639113,35.20189034564964,-69.55504171632904,-23.730740166865328,-21.09184028605482,45.66290822407632,-15.556282479141837,-8.880089392133495,-7.117029797377833,-5.495113230035754,0.9260977353992852,-13.46162574493444,3.098390941597144,5.4124702872970385,56.16108971692739,57.038130967402914,48.65599648526848,29.73449871456726,31.789940552805334,27.33034136350474,28.969503119171108,20.829215685586014,20.25886986972746,17.265526961086778,14.173324605639113
4mGzm5ahHxMX5IhVWbU7cl,Nina Simone,1,False,False,I Loves You Porgy,6,10,track,jazz,album,1958,Little Girl Blue (Remastered 2013),0.48,249823,0.0322,3.78e-06,0.098,121.766,0.172,28.250466988727858,-59.122988727858285,-43.11147504025767,-28.42619484702092,41.11164573268921,-18.65850885668275,-26.464146537842197,2.635676328502413,-6.4897874396135276,-0.2606135265700489,-9.795438003220605,0.8304299516908217,7.0345729747020505,71.46529061634679,52.65344374328425,47.948904158277855,27.506040855515003,31.4461061039668,32.720052550081675,27.902893114882396,19.297844339916537,18.54197222960118,19.046715743261842,15.316839555893129,28.250466988727858,-59.122988727858285,-43.11147504025767,-28.42619484702092,41.11164573268921,-18.65850885668275,-26.464146537842197,2.635676328502413,-6.4897874396135276,-0.2606135265700489,-9.795438003220605,0.8304299516908217,7.0345729747020505,71.46529061634679,52.65344374328425,47.948904158277855,27.506040855515003,31.4461061039668,32.720052550081675,27.902893114882396,19.297844339916537,18.54197222960118,19.046715743261842,15.316839555893129
4DEn3hZzSs9MFwFNDla5Y5,Chick Corea,1,False,False,Swedish Landscape - Live,15,11,track,jazz,album,2000,Solo Piano: Originals,0.39399999999999996,185827,0.15,0.9079999999999999,0.342,97.738,0.17,33.74216231343284,-103.33900746268654,31.613647388059736,14.063781716417916,30.796647388059718,-22.728238805970157,-13.438365671641792,-3.4699832089552243,-12.579102611940286,-3.535442164179103,-4.894477611940301,-0.3827164179104461,6.18540176996192,51.83425546943806,36.43993557336953,39.64928608984665,20.601747283685746,22.17989447062163,24.663035094481824,14.77342348195866,15.404924533138551,10.392137321134744,14.077482393314414,13.933528297075812,33.74216231343284,-103.33900746268654,31.613647388059736,14.063781716417916,30.796647388059718,-22.728238805970157,-13.438365671641792,-3.4699832089552243,-12.579102611940286,-3.535442164179103,-4.894477611940301,-0.3827164179104461,6.18540176996192,51.83425546943806,36.43993557336953,39.64928608984665,20.601747283685746,22.17989447062163,24.663035094481824,14.77342348195866,15.404924533138551,10.392137321134744,14.077482393314414,13.933528297075812
5P6vo51dtkBYWXswH1twvK,Snarky Puppy,1,False,False,Lingus,0,8,track,jazz,album,2014,We Like It Here,0.461,645894,0.773,0.7020000000000001,0.6920000000000001,130.109,0.488,43.16931749622923,9.555443815987982,24.661216440422333,13.889332579185526,20.23094683257917,-27.699562594268478,0.12029562594268785,1.9997036199094989,-8.362748114630449,1.3821583710407281,-7.541452865761687,-0.7398382352941179,9.044416380995976,84.87427079312158,69.45337549396547,40.98554228761442,31.936907152443418,33.788694024507436,23.180497995081407,21.056783517395797,16.294500664598942,15.171105048507986,18.15501324170624,14.513545033625629,43.16931749622923,9.555443815987982,24.661216440422333,13.889332579185526,20.23094683257917,-27.699562594268478,0.12029562594268785,1.9997036199094989,-8.362748114630449,1.3821583710407281,-7.541452865761687,-0.7398382352941179,9.044416380995976,84.87427079312158,69.45337549396547,40.98554228761442,31.936907152443418,33.788694024507436,23.180497995081407,21.056783517395797,16.294500664598942,15.171105048507986,18.15501324170624,14.513545033625629
29TZQMVLv25CBm3bYn2EIQ,Sam Rivers,1,False,False,Kinda Dukish,12,2,track,jazz,album,2001,Black Stars,0.452,326400,0.501,0.9,0.11,111.20299999999999,0.602,42.34920510894069,-22.095600300525916,-39.98555972952675,-7.126170548459803,15.898985725018797,-28.611521412471852,-4.8925326821938295,-1.4128587528174328,-0.6059113448534943,0.7875905334335065,-8.569447032306531,3.3346934635612286,5.0616858565630425,45.12051923856164,37.994207123215574,35.536558698043116,18.869214395087198,24.670387931858215,19.803176437987947,19.322241530007435,14.884705473142867,16.813800238584907,13.922041686569116,10.589779703876813,42.34920510894069,-22.095600300525916,-39.98555972952675,-7.126170548459803,15.898985725018797,-28.611521412471852,-4.8925326821938295,-1.4128587528174328,-0.6059113448534943,0.7875905334335065,-8.569447032306531,3.3346934635612286,5.0616858565630425,45.12051923856164,37.994207123215574,35.536558698043116,18.869214395087198,24.670387931858215,19.803176437987947,19.322241530007435,14.884705473142867,16.813800238584907,13.922041686569116,10.589779703876813
4cUgsvo0xRu0JQXIhxcXkZ,Dizzy Gillespie,1,False,False,Manteca,22,1,track,jazz,album,1995,The Complete RCA Victor Recordings,0.615,186467,0.594,0.861,0.106,86.65700000000001,0.586,41.476885400314025,36.32836734693876,0.11700156985871112,2.941285714285708,19.423850863422288,-13.425637362637367,-11.43532967032967,1.655309262166405,-0.23799529042386217,0.01874254317111442,-11.414511773940356,13.12354945054944,10.026177995269236,92.99897219272147,59.197476714734265,52.565132454021345,16.801812325727887,36.60684770505796,19.46453751713425,20.783918325531936,13.048470709749301,16.0937026668182,23.058527746070265,12.351663555471651,41.476885400314025,36.32836734693876,0.11700156985871112,2.941285714285708,19.423850863422288,-13.425637362637367,-11.43532967032967,1.655309262166405,-0.23799529042386217,0.01874254317111442,-11.414511773940356,13.12354945054944,10.026177995269236,92.99897219272147,59.197476714734265,52.565132454021345,16.801812325727887,36.60684770505796,19.46453751713425,20.783918325531936,13.048470709749301,16.0937026668182,23.058527746070265,12.351663555471651
6gkIIBgZx2661g01Nz5Qtr,Diana Krall,1,False,False,California Dreamin',38,1,track,jazz,album,2014,Wallflower (Deluxe Edition),0.324,197147,0.203,0.00109,0.106,207.423,0.198,40.01787622149839,-40.05269869706845,-36.25395114006512,-18.96565472312704,47.464951140065146,-27.86185342019544,-4.06928338762215,-10.808456026058634,-14.156584690553746,-3.1532719869706844,-8.109063517915315,-4.504369706840389,7.26211675766411,68.74388159361312,61.78576905705315,48.87787198403889,32.039141058186694,34.11442540245481,27.286664537048267,31.580992185848082,23.636131152017953,22.662220403948915,19.21258444759134,14.959270105081897,40.01787622149839,-40.05269869706845,-36.25395114006512,-18.96565472312704,47.464951140065146,-27.86185342019544,-4.06928338762215,-10.808456026058634,-14.156584690553746,-3.1532719869706844,-8.109063517915315,-4.504369706840389,7.26211675766411,68.74388159361312,61.78576905705315,48.87787198403889,32.039141058186694,34.11442540245481,27.286664537048267,31.580992185848082,23.636131152017953,22.662220403948915,19.21258444759134,14.959270105081897
2uwWxQaPESir0zpeVcHRvC,Bob James,1,False,False,Maputo,0,1,track,jazz,album,1986,Double Vision,0.701,408467,0.513,0.8809999999999999,0.113,90.88600000000001,0.74,38.83149905838039,54.80523477715007,-25.938901443816764,13.18526051475205,0.9269209039547993,-28.299637162586293,-12.990103578154432,-6.886973634651601,-1.8451839296924042,5.274962335216581,-7.862454488386684,2.222265536723169,7.343424755066395,57.398687086729325,51.38930945364822,44.70198767878204,27.380766382393432,40.327981862450855,22.627296862478005,19.501800950930317,16.03729003577758,17.01001714479349,19.188612394823856,12.504815286758674,38.83149905838039,54.80523477715007,-25.938901443816764,13.18526051475205,0.9269209039547993,-28.299637162586293,-12.990103578154432,-6.886973634651601,-1.8451839296924042,5.274962335216581,-7.862454488386684,2.222265536723169,7.343424755066395,57.398687086729325,51.38930945364822,44.70198767878204,27.380766382393432,40.327981862450855,22.627296862478005,19.501800950930317,16.03729003577758,17.01001714479349,19.188612394823856,12.504815286758674
57FfMOh9wOQ7IDDK2tmigg,Sun Ra,1,False,False,Enlightenment,0,5,track,jazz,album,1959,Sound Sun Pleasure,0.501,305439,0.303,0.000123,0.139,130.031,0.537,44.52905450733761,34.86157442348007,27.464079664570235,-0.3153878406708562,22.52935849056605,-5.084209643605877,-7.756923480083862,4.770467505241091,-4.546512578616345,-0.909312368972745,-13.308724318658275,5.830825995807125,5.270158946688767,51.87936459666845,51.309132120705435,46.242065536878854,22.141216511379266,30.26645141431656,24.415742938386767,22.1882368071501,15.23720407962235,18.413634444604114,20.6321051109689,12.307698734433728,44.52905450733761,34.86157442348007,27.464079664570235,-0.3153878406708562,22.52935849056605,-5.084209643605877,-7.756923480083862,4.770467505241091,-4.546512578616345,-0.909312368972745,-13.308724318658275,5.830825995807125,5.270158946688767,51.87936459666845,51.309132120705435,46.242065536878854,22.141216511379266,30.26645141431656,24.415742938386767,22.1882368071501,15.23720407962235,18.413634444604114,20.6321051109689,12.307698734433728
5P7QtBWllP1CQno3Bi834D,Jack DeJohnette,1,False,False,Dancing,11,3,track,jazz,album,1990,Parallel Realities,0.47700000000000004,464627,0.654,0.345,0.10300000000000001,143.789,0.617,39.46870420420422,0.8541891891891813,-7.648397897897897,-10.555018018018023,54.923114114114185,-36.619929929929924,-21.982786286286274,-2.6917407407407263,-4.178968968968965,3.4273538538538477,-4.733777777777765,-3.0036271271271353,5.506520043600883,47.860190823687304,41.40661217408324,26.143793560983344,30.714595260527474,19.722726924441737,21.42866710973929,18.16375916776337,17.521553232363555,16.520184460269036,11.450220541209248,13.419981281133882,39.46870420420422,0.8541891891891813,-7.648397897897897,-10.555018018018023,54.923114114114185,-36.619929929929924,-21.982786286286274,-2.6917407407407263,-4.178968968968965,3.4273538538538477,-4.733777777777765,-3.0036271271271353,5.506520043600883,47.860190823687304,41.40661217408324,26.143793560983344,30.714595260527474,19.722726924441737,21.42866710973929,18.16375916776337,17.521553232363555,16.520184460269036,11.450220541209248,13.419981281133882
