Sucursal;Trimestre Entrega;Capital Entregado ;Cantidad Cuotas;Importe Cuota;Interes Mensual;Zona Residencia;Edad;Nacionalidad;Informa Celular;Informa Tel Particular;Informa Email;Informa Tel Alternativo;Informa Nombre Jefe;Puesto Laboral;Ingreso Formal;Sexo;Target
Once;II;5000;19;750;0.1;Zona Oeste;62;URUGUAY;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;M;Cumplidor
Once;IV;8500;21;1204;0.09;Zona Oeste;62;URUGUAY;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;M;Cumplidor
Once;IV;10000;21;978;0.05;Zona Oeste;62;URUGUAY;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;M;Cumplidor
Once;IV;28000;20;4900;0.13;Zona Sur;62;URUGUAY;SI;NO ;NO;NO;SI;LIMPIEZA Y SEGURIDAD;10000;M;Cumplidor
Once;IV;10000;14;1654;0.09;Capital Federal;;ARGENTINA;SI;NO ;NO;NO;SI;COMERCIO;7300;F;Deudor
Once;III;10000;11;2027;0.11;Capital Federal;;PERU;SI;NO ;NO;NO;SI;SALUD;8652;F;Cumplidor
Once;IV;10000;14;1654;0.09;Capital Federal;;PERU;SI;NO ;NO;NO;SI;SALUD;8652;F;Cumplidor
Once;II;6000;11;1174;0.1;Capital Federal;40;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11714;M;Cumplidor
Once;III;15000;11;3058;0.11;Capital Federal;40;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11714;M;Cumplidor
;IV;16000;18;2448;0.1;Capital Federal;40;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11714;M;Cumplidor
Once;IV;11000;14;1819.9;0.09;Capital Federal;40;ARGENTINA;SI;SI;NO;SI;SI;PORTERO;11714;M;Cumplidor
Once;II;15000;15;2695;0.11;Capital Federal;65;ARGENTINA;NO;SI;NO;SI;SI;PORTERO;17290.8;F;Cumplidor
;IV;15000;20;2212;0.1;Capital Federal;65;ARGENTINA;NO;SI;NO;SI;SI;PORTERO;17290.8;F;Cumplidor
Once;IV;10000;14;1654;0.09;Capital Federal;65;ARGENTINA;NO;SI;NO;SI;SI;PORTERO;17290.8;F;Cumplidor
Once;IV;10000;14;1654;0.09;Capital Federal;;ARGENTINA;SI;SI;SI;NO;SI;COMERCIO;11617.2;M;Cumplidor
Once;III;10000;14;1689;0.1;Capital Federal;40;PERU;SI;NO ;SI;NO;SI;COMERCIO;9108;M;Deudor
Once;IV;12000;14;1985.1;0.09;Capital Federal;40;PERU;SI;NO ;SI;NO;SI;COMERCIO;9108;M;Deudor
Once;IV;4000;14;661.6;0.09;Capital Federal;56;ARGENTINA;SI;SI;NO;NO;SI;ADMINISTRACION;15306.6;F;Cumplidor
Once;IV;11000;17;1681.7;0.09;Capital Federal;47;ARGENTINA;SI;SI;SI;SI;SI;SALUD;12000;F;Cumplidor
